component,value,count_experiments,mean_mean_f1,max_mean_f1,mean_f1_gt_0_5,mean_mm_t_f1,mean_mm_f_f1,mean_latency,best_experiment
Family,BM25 text reranking,5,0.5328,0.5497,0.5500,0.5450,0.5020,0.8929,text_reranker_308_bge_large_qwen3vl30b
Family,ColPali visual Qwen30B,2,0.6700,0.6860,0.7062,0.6845,0.6337,10.4750,docbench_hybrid_bm25_tools_qwen3vl30b
Family,ColPali visual Qwen8B,2,0.5913,0.6170,0.5974,0.6151,0.5319,12.6087,multimodal_308_with_reranker
Family,Full image+text,2,0.6903,0.7023,0.7354,0.7115,0.6374,8.5352,image_text_full_308_nemotron_qwen3vl30b
Family,Image+text fusion,3,0.6717,0.6793,0.7035,0.6875,0.6322,7.9096,image_text_fusion_308_nemotron_qwen3vl30b
Family,Image+text input,1,0.6979,0.6979,0.7468,0.7138,0.6579,12.9920,image_text_input_308_nemotron_qwen3vl30b
Family,Nemotron image retriever,2,0.6691,0.6902,0.7094,0.6835,0.6330,6.8119,multimodal_308_nemotron_image_retriever_with_reranker_qwen3vl30b
Family,Text evidence encoder,3,0.4994,0.5354,0.5108,0.5280,0.4280,1.3348,text_evidence_encoder_308_bge_large_en_v1_5_bge_reranker_large_qwen3vl30b
Retriever,BGE-base text encoder,1,0.5205,0.5205,0.5390,0.5521,0.4414,1.4988,text_evidence_encoder_308_bge_base_en_v1_5_bge_reranker_large_qwen3vl30b
Retriever,BGE-large text encoder,2,0.4889,0.5354,0.4968,0.5159,0.4213,1.2528,text_evidence_encoder_308_bge_large_en_v1_5_bge_reranker_large_qwen3vl30b
Retriever,BM25 page_text,5,0.5328,0.5497,0.5500,0.5450,0.5020,0.8929,text_reranker_308_bge_large_qwen3vl30b
Retriever,ColPali/ColVision,5,0.6402,0.6860,0.6643,0.6580,0.5957,11.5951,docbench_hybrid_bm25_tools_qwen3vl30b
Retriever,Nemotron image,7,0.6791,0.7023,0.7189,0.6965,0.6354,7.9438,image_text_full_308_nemotron_qwen3vl30b
Reranker,BGE-reranker-base,1,0.5429,0.5429,0.5617,0.5477,0.5309,0.8689,text_reranker_308_bge_base_qwen3vl30b
Reranker,BGE-reranker-large,3,0.5352,0.5497,0.5498,0.5569,0.4808,1.4145,text_reranker_308_bge_large_qwen3vl30b
Reranker,Jina reranker,1,0.5303,0.5303,0.5455,0.5501,0.4807,0.8927,text_reranker_308_jina_qwen3vl30b
Reranker,MiniLM reranker,1,0.5265,0.5265,0.5390,0.5463,0.4770,0.7538,text_reranker_308_minilm_qwen3vl30b
Reranker,Nemotron VL reranker,7,0.6787,0.7023,0.7199,0.6937,0.6414,12.7283,image_text_full_308_nemotron_qwen3vl30b
Reranker,None,7,0.5943,0.6784,0.6146,0.6149,0.5428,3.7420,image_text_full_308_nemotron_no_reranker_qwen3vl30b
VLM,Qwen3-VL-30B,18,0.6074,0.7023,0.6356,0.6247,0.5643,5.3796,image_text_full_308_nemotron_qwen3vl30b
VLM,Qwen3-VL-8B,2,0.5913,0.6170,0.5974,0.6151,0.5319,12.6087,multimodal_308_with_reranker
Evidence,OCR + page_text + captions + table_text,3,0.4994,0.5354,0.5108,0.5280,0.4280,1.3348,text_evidence_encoder_308_bge_large_en_v1_5_bge_reranker_large_qwen3vl30b
Evidence,full page + layout crop,12,0.6629,0.7023,0.6962,0.6805,0.6189,9.4652,image_text_full_308_nemotron_qwen3vl30b
Evidence,page_text,5,0.5328,0.5497,0.5500,0.5450,0.5020,0.8929,text_reranker_308_bge_large_qwen3vl30b
