rank,experiment,short_name,family,retriever,reranker,evidence,vlm,mean_f1,f1_gt_0_5,exact_match,multimodal_t_mean_f1,multimodal_f_mean_f1,mm_gap,doc_hit_at_1,page_hit_at_1,latency_mean,balanced_score,pareto_frontier,results_dir
1,image_text_full_308_nemotron_qwen3vl30b,Nemotron full image+text + VL reranker + Qwen30B,Full image+text,Nemotron image,Nemotron VL reranker,full page + layout crop,Qwen3-VL-30B,0.7023,0.7565,0.1201,0.7201,0.6578,0.0623,0.7987,0.7574,13.6441,0.2617,True,results/image_text_full_308_nemotron_qwen3vl30b
2,image_text_input_308_nemotron_qwen3vl30b,Nemotron image+text input + VL reranker + Qwen30B,Image+text input,Nemotron image,Nemotron VL reranker,full page + layout crop,Qwen3-VL-30B,0.6979,0.7468,0.1169,0.7138,0.6579,0.0559,0.7987,0.7574,12.9920,0.2645,True,results/image_text_input_308_nemotron_qwen3vl30b
3,multimodal_308_nemotron_image_retriever_with_reranker_qwen3vl30b,Nemotron image + VL reranker + Qwen30B,Nemotron image retriever,Nemotron image,Nemotron VL reranker,full page + layout crop,Qwen3-VL-30B,0.6902,0.7500,0.1071,0.7015,0.6620,0.0396,0.7987,0.7574,11.0702,0.2771,True,results/multimodal_308_nemotron_image_retriever_with_reranker_qwen3vl30b
4,docbench_hybrid_bm25_tools_qwen3vl30b,ColPali + VL reranker + Qwen30B,ColPali visual Qwen30B,ColPali/ColVision,Nemotron VL reranker,full page + layout crop,Qwen3-VL-30B,0.6860,0.7338,0.1104,0.6971,0.6582,0.0390,0.7760,0.7508,14.8791,0.2481,False,results/docbench_hybrid_bm25_tools_qwen3vl30b
5,image_text_fusion_308_nemotron_qwen3vl30b,Fusion Nemotron + VL reranker + Qwen30B,Image+text fusion,Nemotron image,Nemotron VL reranker,full page + layout crop,Qwen3-VL-30B,0.6793,0.7175,0.1136,0.6933,0.6445,0.0488,0.7987,0.7574,9.4122,0.2899,True,results/image_text_fusion_308_nemotron_qwen3vl30b
6,image_text_full_308_nemotron_no_reranker_qwen3vl30b,Nemotron full image+text no reranker + Qwen30B,Full image+text,Nemotron image,None,full page + layout crop,Qwen3-VL-30B,0.6784,0.7143,0.1201,0.7029,0.6169,0.0860,0.7987,0.7574,3.4263,0.4560,True,results/image_text_full_308_nemotron_no_reranker_qwen3vl30b
7,image_text_fusion_308_colpali_qwen3vl30b,Fusion ColPali + VL reranker + Qwen30B,Image+text fusion,ColPali/ColVision,Nemotron VL reranker,full page + layout crop,Qwen3-VL-30B,0.6782,0.7143,0.1104,0.6906,0.6474,0.0432,0.7760,0.7508,11.8085,0.2660,False,results/image_text_fusion_308_colpali_qwen3vl30b
8,image_text_fusion_308_nemotron_no_reranker_qwen3vl30b,Fusion Nemotron no image reranker + Qwen30B,Image+text fusion,Nemotron image,None,full page + layout crop,Qwen3-VL-30B,0.6575,0.6786,0.1136,0.6786,0.6047,0.0739,0.7987,0.7574,2.5080,0.5238,True,results/image_text_fusion_308_nemotron_no_reranker_qwen3vl30b
9,docbench_qwen3vl30b_no_reranker,ColPali no reranker + Qwen30B,ColPali visual Qwen30B,ColPali/ColVision,None,full page + layout crop,Qwen3-VL-30B,0.6539,0.6786,0.0909,0.6718,0.6092,0.0626,0.7760,0.7508,6.0709,0.3343,False,results/docbench_qwen3vl30b_no_reranker
10,multimodal_308_nemotron_image_retriever_qwen3vl30b,Nemotron image no reranker + Qwen30B,Nemotron image retriever,Nemotron image,None,full page + layout crop,Qwen3-VL-30B,0.6479,0.6688,0.1136,0.6655,0.6040,0.0615,0.7987,0.7574,2.5535,0.5110,False,results/multimodal_308_nemotron_image_retriever_qwen3vl30b
11,multimodal_308_with_reranker,ColPali + VL reranker + Qwen8B,ColPali visual Qwen8B,ColPali/ColVision,Nemotron VL reranker,full page + layout crop,Qwen3-VL-8B,0.6170,0.6201,0.1071,0.6391,0.5617,0.0774,0.7760,0.7508,15.2920,0.2211,False,results/multimodal_308_with_reranker
12,multimodal_308_no_reranker,ColPali no reranker + Qwen8B,ColPali visual Qwen8B,ColPali/ColVision,None,full page + layout crop,Qwen3-VL-8B,0.5657,0.5747,0.0942,0.5911,0.5020,0.0891,0.7760,0.7508,9.9253,0.2366,False,results/multimodal_308_no_reranker
13,text_reranker_308_bge_large_qwen3vl30b,BM25 + BGE-reranker-large + Qwen30B,BM25 text reranking,BM25 page_text,BGE-reranker-large,page_text,Qwen3-VL-30B,0.5497,0.5714,0.0812,0.5542,0.5385,0.0156,0.6753,0.6918,1.2344,0.6837,True,results/text_reranker_308_bge_large_qwen3vl30b
14,text_reranker_308_bge_base_qwen3vl30b,BM25 + BGE-reranker-base + Qwen30B,BM25 text reranking,BM25 page_text,BGE-reranker-base,page_text,Qwen3-VL-30B,0.5429,0.5617,0.0747,0.5477,0.5309,0.0168,0.6753,0.6918,0.8689,0.8681,True,results/text_reranker_308_bge_base_qwen3vl30b
15,text_evidence_encoder_308_bge_large_en_v1_5_bge_reranker_large_qwen3vl30b,BGE-large encoder + BGE-large reranker + Qwen30B,Text evidence encoder,BGE-large text encoder,BGE-reranker-large,OCR + page_text + captions + table_text,Qwen3-VL-30B,0.5354,0.5390,0.0877,0.5646,0.4625,0.1021,0.5779,0.5607,1.5102,0.5817,False,results/text_evidence_encoder_308_bge_large_en_v1_5_bge_reranker_large_qwen3vl30b
16,text_reranker_308_jina_qwen3vl30b,BM25 + Jina reranker + Qwen30B,BM25 text reranking,BM25 page_text,Jina reranker,page_text,Qwen3-VL-30B,0.5303,0.5455,0.0714,0.5501,0.4807,0.0694,0.6753,0.6918,0.8927,0.8312,False,results/text_reranker_308_jina_qwen3vl30b
17,text_reranker_308_minilm_qwen3vl30b,BM25 + MiniLM reranker + Qwen30B,BM25 text reranking,BM25 page_text,MiniLM reranker,page_text,Qwen3-VL-30B,0.5265,0.5390,0.1006,0.5463,0.4770,0.0693,0.6753,0.6918,0.7538,0.9372,True,results/text_reranker_308_minilm_qwen3vl30b
18,text_evidence_encoder_308_bge_base_en_v1_5_bge_reranker_large_qwen3vl30b,BGE-base encoder + BGE-large reranker + Qwen30B,Text evidence encoder,BGE-base text encoder,BGE-reranker-large,OCR + page_text + captions + table_text,Qwen3-VL-30B,0.5205,0.5390,0.0909,0.5521,0.4414,0.1107,0.5162,0.5803,1.4988,0.5683,False,results/text_evidence_encoder_308_bge_base_en_v1_5_bge_reranker_large_qwen3vl30b
19,text_reranker_308_no_reranker_qwen3vl30b,BM25 no reranker + Qwen30B,BM25 text reranking,BM25 page_text,None,page_text,Qwen3-VL-30B,0.5144,0.5325,0.0909,0.5269,0.4830,0.0440,0.6753,0.6918,0.7146,0.9540,True,results/text_reranker_308_no_reranker_qwen3vl30b
20,text_evidence_encoder_308_bge_large_en_v1_5_no_reranker_qwen3vl30b,BGE-large encoder no reranker + Qwen30B,Text evidence encoder,BGE-large text encoder,None,OCR + page_text + captions + table_text,Qwen3-VL-30B,0.4424,0.4545,0.0909,0.4673,0.3801,0.0873,0.5779,0.5607,0.9953,0.6404,False,results/text_evidence_encoder_308_bge_large_en_v1_5_no_reranker_qwen3vl30b
